city,lat,lon,temperature,pm25,aqi,timestamp
tokyo,35.69,139.69,21.1,17,40,2026-06-04 17:07:34.540655
beijing,39.9,116.4,22.1,34,54,2026-06-04 17:07:38.780925
bangkok,13.73,100.5,28.5,43,43,2026-06-04 17:07:43.142600
seoul,37.57,126.98,19.4,102,102,2026-06-04 17:07:47.423502
delhi,28.61,77.23,37.8,154,154,2026-06-04 17:07:51.804203
singapore,1.35,103.82,29.2,57,57,2026-06-04 17:07:56.155316
dhaka,23.81,90.41,34.2,152,152,2026-06-04 17:08:00.468986
ulaanbaatar,47.92,106.92,12.2,7,53,2026-06-04 17:08:04.526534
berlin,52.52,13.4,20.1,25,25,2026-06-04 17:08:08.899353
london,51.51,-0.13,14.4,25,25,2026-06-04 17:08:13.000936
reykjavik,64.15,-21.94,10.4,19,19,2026-06-04 17:08:17.148548
new_york,40.71,-74.01,16.3,21,21,2026-06-04 17:08:21.131099
sydney,-33.87,151.21,13.4,11,11,2026-06-04 17:08:24.916146
nairobi,-1.29,36.82,21.4,5,5,2026-06-04 17:08:28.795624
jakarta,-6.21,106.85,30.7,116,116,2026-06-04 17:08:32.883249
